zone,grouping,group,n,residual_cap40_fraction,kalman_cap20_fraction,kalman_raw_above20_fraction
NL,hour,16,365,0.00821917808219178,0.0,0.0
NL,hour,17,365,0.00821917808219178,0.0,0.0
NL,hour,18,365,0.005479452054794521,0.0,0.0
NL,hour,19,365,0.0027397260273972603,0.0,0.0
NL,hour,20,365,0.00821917808219178,0.0,0.0
NL,hour,21,365,0.00821917808219178,0.0,0.0
NL,hour,22,365,0.0027397260273972603,0.0,0.0
NL,hour,23,365,0.0,0.0,0.0
NL,season,DJF,2160,0.005555555555555556,0.0,0.0
NL,season,JJA,2208,0.003170289855072464,0.0,0.0
NL,season,MAM,2207,0.0031717263253285004,0.0,0.0
NL,season,SON,2185,0.004576659038901602,0.0,0.0
NL,regime,negative,439,0.015945330296127564,0.0,0.0
NL,regime,upper95_train,1133,0.02206531332744925,0.0,0.0
NL,regime,upper99_train,155,0.07741935483870968,0.0,0.0
