zone,grouping,group,n,coverage80,below_p10,above_p90,width80,interval_score80,wis80_single_interval
BE,all,all,8760,0.7446347031963471,0.12134703196347033,0.13401826484018264,30.683943005130715,58.45081191016477,7.618646720453238
BE,split,test,2160,0.75,0.11666666666666667,0.13333333333333333,42.086618170914825,87.62835047900099,11.211103703801955
BE,split,train,4321,0.722286507752835,0.1372367507521407,0.1404767414950243,23.372793592697104,41.70712076414211,5.62590589083073
BE,split,validation,2279,0.7819218955682317,0.09565598946906538,0.12242211496270294,33.73865921971253,62.54296027930812,7.992023658042371
BE,hour,0,365,0.6301369863013698,0.15616438356164383,0.2136986301369863,14.441191926721023,37.90786112027711,4.861495052777643
BE,hour,1,365,0.673972602739726,0.136986301369863,0.18904109589041096,15.687166794032267,34.28268972642376,4.495694599140496
BE,hour,2,365,0.684931506849315,0.1232876712328767,0.1917808219178082,16.696590831181773,35.95452799254291,4.736674316194287
BE,hour,3,365,0.6794520547945205,0.14246575342465753,0.1780821917808219,17.64858561476616,38.716415375894066,5.108375514355494
BE,hour,4,365,0.684931506849315,0.136986301369863,0.1780821917808219,18.802782805978435,39.82646609963899,5.254444310103134
BE,hour,5,365,0.7178082191780822,0.14520547945205478,0.136986301369863,20.390238555490154,39.01143663972201,5.19130443835119
BE,hour,6,365,0.7150684931506849,0.16164383561643836,0.1232876712328767,23.66264347442209,45.315973236358325,6.031901560478762
BE,hour,7,365,0.7150684931506849,0.14794520547945206,0.136986301369863,29.931052733120854,54.91801709138104,7.310502725032205
BE,hour,8,365,0.7671232876712328,0.12602739726027398,0.10684931506849316,34.54790969221559,53.3282295276041,7.274908510066733
BE,hour,9,365,0.7835616438356164,0.10410958904109589,0.11232876712328767,36.02008095310159,55.185580509432995,7.523447287789903
BE,hour,10,365,0.7671232876712328,0.12054794520547946,0.11232876712328767,34.92195655091168,56.632643367668955,7.611542171164623
BE,hour,11,365,0.7589041095890411,0.1095890410958904,0.13150684931506848,36.021969290955425,61.799840433464354,8.026172227520366
BE,hour,12,365,0.7726027397260274,0.09315068493150686,0.13424657534246576,37.819404298965246,69.20566582111981,8.851524911638258
BE,hour,13,365,0.7890410958904109,0.0958904109589041,0.11506849315068493,37.813707116532,78.09173142458478,9.720803476795938
BE,hour,14,365,0.7863013698630137,0.09863013698630137,0.11506849315068493,37.63980115080533,79.49398934434916,9.858226473089331
BE,hour,15,365,0.8,0.07945205479452055,0.12054794520547946,38.12027836629789,63.79507592547883,8.269797880852595
BE,hour,16,365,0.7917808219178082,0.10410958904109589,0.10410958904109589,34.75879276223379,55.42159179502516,7.488853974292102
BE,hour,17,365,0.7616438356164383,0.10410958904109589,0.13424657534246576,33.9202296635876,56.40507701982801,7.6771256761178535
BE,hour,18,365,0.7808219178082192,0.09315068493150686,0.12602739726027398,35.22369477781531,61.30183269188523,8.144161503618847
BE,hour,19,365,0.7342465753424657,0.12602739726027398,0.13972602739726028,40.87033864896591,93.7011266875227,11.842818597969769
BE,hour,20,365,0.7671232876712328,0.1232876712328767,0.1095890410958904,44.17812178102258,100.1614076937126,12.638962463910447
BE,hour,21,365,0.7972602739726027,0.12876712328767123,0.07397260273972603,39.59934986062246,85.62019804008027,10.843121049688046
BE,hour,22,365,0.7616438356164383,0.10136986301369863,0.136986301369863,30.908415776082915,59.09599518632583,7.697168310230955
BE,hour,23,365,0.7506849315068493,0.15342465753424658,0.0958904109589041,26.790328697309103,47.646113093633545,6.3884942596987555
BE,season,DJF,2160,0.7185185185185186,0.1527777777777778,0.1287037037037037,18.48604799023381,33.09346684070926,4.49240022165408
BE,season,JJA,2208,0.7545289855072463,0.11639492753623189,0.12907608695652173,40.27095646270807,80.71720998560453,10.362046959336613
BE,season,MAM,2207,0.7788853647485274,0.08291798821930221,0.13819664703217036,35.066207446714955,66.28296574410626,8.44046223418189
BE,season,SON,2185,0.7258581235697941,0.13409610983981693,0.140045766590389,28.62795668717653,53.106232911512166,7.1067555859692835
BE,regime,negative,330,0.8515151515151516,0.07272727272727272,0.07575757575757576,49.84743985262784,125.20759024109434,14.277819602419742
BE,regime,upper95_train,1437,0.7014613778705637,0.081419624217119,0.21711899791231734,41.83015927160126,108.76363426670761,13.665802747958715
BE,regime,upper99_train,388,0.6134020618556701,0.05670103092783505,0.32989690721649484,62.976744956576944,249.50327223099333,29.904479209682115
DE,all,all,8760,0.7433789954337899,0.1256849315068493,0.13093607305936072,30.980929976946687,58.786140819920945,7.625391060986616
DE,split,test,2160,0.749537037037037,0.09583333333333334,0.15462962962962962,35.05137797108403,71.43141868966028,9.11830873658271
DE,split,train,4321,0.729923628789632,0.14834529044202732,0.12173108076834066,27.925781928894285,50.89798282558909,6.716316505618299
DE,split,validation,2279,0.7630539710399298,0.11101360245721807,0.12593242650285214,32.91560617189964,61.75715025163263,7.934039141047583
DE,hour,0,365,0.6027397260273972,0.16986301369863013,0.2273972602739726,13.513252132886077,32.99305989666942,4.3317812443507036
DE,hour,1,365,0.6684931506849315,0.1506849315068493,0.18082191780821918,14.901758345512494,31.483519990110914,4.1467379838527085
DE,hour,2,365,0.6986301369863014,0.13424657534246576,0.16712328767123288,16.041987150009366,33.2577892301677,4.378545744742512
DE,hour,3,365,0.7013698630136986,0.14246575342465753,0.15616438356164383,17.08482093288474,34.63192570541204,4.579263979951682
DE,hour,4,365,0.7123287671232876,0.13150684931506848,0.15616438356164383,18.06556903368806,35.20303562333716,4.732674515545577
DE,hour,5,365,0.7315068493150685,0.13972602739726028,0.12876712328767123,20.016399853850064,36.534059444724974,4.937305468904944
DE,hour,6,365,0.6986301369863014,0.15342465753424658,0.14794520547945206,24.206046201104986,42.11660072103729,5.7314310734025415
DE,hour,7,365,0.7616438356164383,0.12876712328767123,0.1095890410958904,33.528325715783524,54.582414081914315,7.359700071124487
DE,hour,8,365,0.7780821917808219,0.10684931506849316,0.11506849315068493,36.21473842255057,56.16966263226314,7.679749247759155
DE,hour,9,365,0.7753424657534247,0.1178082191780822,0.10684931506849316,34.39923364299617,54.149944540045276,7.135042124787046
DE,hour,10,365,0.7698630136986301,0.11506849315068493,0.11506849315068493,33.092002398347205,54.12760318855874,7.179855843371412
DE,hour,11,365,0.7315068493150685,0.12876712328767123,0.13972602739726028,34.02963651892257,61.5914868796804,8.000885506014386
DE,hour,12,365,0.7671232876712328,0.10410958904109589,0.12876712328767123,35.77578849269919,69.03665345473614,8.817861601706362
DE,hour,13,365,0.7780821917808219,0.10136986301369863,0.12054794520547946,36.684048002060145,81.28329868134229,9.97504906440924
DE,hour,14,365,0.7726027397260274,0.10684931506849316,0.12054794520547946,37.16768273131488,81.1884148829002,10.000051893321128
DE,hour,15,365,0.7917808219178082,0.10136986301369863,0.10684931506849316,38.81860089236743,67.12429837834028,8.664054436612
DE,hour,16,365,0.7424657534246575,0.13150684931506848,0.12602739726027398,37.00454255195513,65.08694974541339,8.667154912172535
DE,hour,17,365,0.7643835616438356,0.11232876712328767,0.1232876712328767,37.55411495051972,63.38008739711815,8.47168100636889
