zone,model,month,mae
BE,chronos,2025-09,13.295867564444446
BE,chronos,2025-10,10.650524189126344
BE,chronos,2025-11,9.005986009722223
BE,chronos,2025-12,5.928558055107527
BE,chronos,2026-01,9.007944258064516
BE,chronos,2026-02,5.828756913690476
BE,chronos,2026-03,12.531780417671602
BE,chronos,2026-04,15.336148282430557
BE,chronos,2026-05,11.769837486606184
BE,chronos,2026-06,23.251883759583336
BE,chronos,2026-07,13.89492929823387
BE,chronos,2026-08,11.24301671157258
BE,nyx,2025-09,11.544898699889911
BE,nyx,2025-10,9.120189559925302
BE,nyx,2025-11,8.665400041219911
BE,nyx,2025-12,6.3463286117688895
BE,nyx,2026-01,8.775985337072628
BE,nyx,2026-02,5.302640153562426
BE,nyx,2026-03,11.475673879930305
BE,nyx,2026-04,13.95306296253257
BE,nyx,2026-05,10.825763907605007
BE,nyx,2026-06,21.375488799317583
BE,nyx,2026-07,13.036280336734894
BE,nyx,2026-08,10.623836858821699
BE,storm,2025-09,9.985482963888888
BE,storm,2025-10,8.077790004032257
BE,storm,2025-11,8.197701193055556
BE,storm,2025-12,6.4372446397849465
BE,storm,2026-01,8.48151936155914
BE,storm,2026-02,6.8693102574404765
BE,storm,2026-03,11.436755763122477
BE,storm,2026-04,15.521369334722221
BE,storm,2026-05,11.588871776881719
BE,storm,2026-06,20.420911534722222
BE,storm,2026-07,10.457784
BE,storm,2026-08,10.554229424731183
DE,chronos,2025-09,13.477931534499998
DE,chronos,2025-10,12.375300702916666
DE,chronos,2025-11,12.7202688375
DE,chronos,2025-12,7.416202350806452
DE,chronos,2026-01,11.113494431895163
DE,chronos,2026-02,7.1088566860119045
DE,chronos,2026-03,12.79924315079408
DE,chronos,2026-04,14.941766118309722
DE,chronos,2026-05,12.015456875
DE,chronos,2026-06,18.465988344347224
DE,chronos,2026-07,12.31048501171371
DE,chronos,2026-08,11.028570192784947
DE,nyx,2025-09,11.433014527192194
DE,nyx,2025-10,10.72239251885538
DE,nyx,2025-11,11.90290176018482
DE,nyx,2025-12,7.5875364171076
DE,nyx,2026-01,10.907372210863763
DE,nyx,2026-02,6.779721627442577
DE,nyx,2026-03,11.02818939840436
DE,nyx,2026-04,13.72506094963
DE,nyx,2026-05,10.443489982456171
DE,nyx,2026-06,16.652417323947503
DE,nyx,2026-07,9.797025938319303
DE,nyx,2026-08,10.146573197169564
DE,storm,2025-09,10.226186086111111
DE,storm,2025-10,11.552434625000002
DE,storm,2025-11,11.342133925
DE,storm,2025-12,9.164213581989246
DE,storm,2026-01,10.635473629032258
DE,storm,2026-02,9.106451497023809
DE,storm,2026-03,11.914364604306865
DE,storm,2026-04,12.665488858333333
DE,storm,2026-05,12.701614052419355
DE,storm,2026-06,16.18993465277778
DE,storm,2026-07,9.658173572580646
DE,storm,2026-08,9.835282364247313
FR,chronos,2025-09,11.188552935208333
FR,chronos,2025-10,10.479125932704301
FR,chronos,2025-11,9.679218630555557
FR,chronos,2025-12,7.398742456854839
FR,chronos,2026-01,10.103485572580645
FR,chronos,2026-02,12.066744320377975
FR,chronos,2026-03,14.987429287053835
FR,chronos,2026-04,17.919985365019446
FR,chronos,2026-05,16.464528789784946
FR,chronos,2026-06,15.325160093659722
FR,chronos,2026-07,14.201095866827957
FR,chronos,2026-08,13.503249472768818
FR,nyx,2025-09,10.184832358121128
FR,nyx,2025-10,9.67993707191862
FR,nyx,2025-11,9.762242798079921
FR,nyx,2025-12,7.579542206227808
FR,nyx,2026-01,10.249377856464456
FR,nyx,2026-02,10.03101754165119
FR,nyx,2026-03,14.148993204609457
FR,nyx,2026-04,15.177777147091858
FR,nyx,2026-05,15.888093339989771
FR,nyx,2026-06,13.988266595469026
FR,nyx,2026-07,12.297852073660053
FR,nyx,2026-08,13.602682645115232
FR,storm,2025-09,11.565741730555555
FR,storm,2025-10,9.865736205645161
FR,storm,2025-11,9.671180838888889
FR,storm,2025-12,6.957874583333334
FR,storm,2026-01,8.67261159811828
FR,storm,2026-02,10.215085736607143
FR,storm,2026-03,15.371985730820997
FR,storm,2026-04,15.446305348611112
FR,storm,2026-05,17.278200427419353
FR,storm,2026-06,12.759644801388887
FR,storm,2026-07,12.353108380376344
FR,storm,2026-08,11.72551234408602
NL,chronos,2025-09,14.039508438055554
NL,chronos,2025-10,12.39581309
NL,chronos,2025-11,10.238981654166667
NL,chronos,2025-12,7.113139344758064
NL,chronos,2026-01,10.163688177419354
NL,chronos,2026-02,7.282071055059524
NL,chronos,2026-03,13.626088034589504
NL,chronos,2026-04,15.375019957444445
NL,chronos,2026-05,11.595950764287634
NL,chronos,2026-06,20.43004572226389
NL,chronos,2026-07,12.417276295712366
NL,chronos,2026-08,11.205311548481184
NL,nyx,2025-09,11.772838029349774
NL,nyx,2025-10,11.165089817303032
NL,nyx,2025-11,9.245196459274593
NL,nyx,2025-12,7.167508981993959
NL,nyx,2026-01,9.85534659353889
NL,nyx,2026-02,6.271471439079526
NL,nyx,2026-03,12.274670740320799
NL,nyx,2026-04,14.528384110711714
NL,nyx,2026-05,10.329804221007356
NL,nyx,2026-06,18.62531769171023
NL,nyx,2026-07,10.54716996049545
NL,nyx,2026-08,10.127215309794293
NL,storm,2025-09,9.286834580555555
NL,storm,2025-10,9.254535751344086
NL,storm,2025-11,9.83843088611111
NL,storm,2025-12,7.2786384475806445
NL,storm,2026-01,10.059261596774194
NL,storm,2026-02,8.126942947916667
NL,storm,2026-03,12.133976725437416
NL,storm,2026-04,14.991515708333331
NL,storm,2026-05,11.206803559139786
NL,storm,2026-06,17.111716869444443
NL,storm,2026-07,9.467690862903225
NL,storm,2026-08,10.249640610215053
