series
abst.power.price.da.fr.euromwh.15min.fcst.sawtooth
abst.power.price.da.fr.euromwh.15min.fcst.sawtooth_mkonline
abst.power.price.da.fr.euromwh.15min.fcst.sawtooth_pointcarbon
abst.power.price.da.fr.euromwh.15min.fcst.sawtooth_storm_base
ammonia.freight.price.from.arzew.to.antwerp_tees.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.arzew.to.rotterdam.15kt.handysize.argus.weekly.usdt
ammonia.freight.price.from.bontang.to.kakinada_paradip.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.bontang.to.paradip.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.bontang.to.ulsan.15kt.handysize.argus.weekly.usdt
ammonia.freight.price.from.bontang.to.ulsan.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.donaldsonville.to.antwerp.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.donaldsonville.to.jorf_lasfar.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.donaldsonville.to.niihama_via_cape.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.donaldsonville.to.niihama_via_panama.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.donaldsonville.to.ulsan_via_cape.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.donaldsonville.to.ulsan_via_panama.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.luwuk.to.caojing_ulsan.40kt.lgc.argus.weekly.usdt
ammonia.freight.price.from.luwuk.to.taichung_caojing_ulsan.40kt.lgc.argus.weekly.usdt
ammonia.freight.price.from.point_lisas.to.antwerp.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.point_lisas.to.houston.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.point_lisas.to.jorf_lasfar.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.point_lisas.to.jorf_lasfar.40kt.lgc.argus.weekly.usdt
ammonia.freight.price.from.point_lisas.to.richards_bay.21kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.point_lisas.to.tampa.15kt.handysize.argus.weekly.usdt
ammonia.freight.price.from.point_lisas.to.tampa_houston_comfort.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.point_lisas.to.tampa_houston_comfort.253kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.point_lisas.to.ulsan.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.ras_al_khair.to.antwerp_via_cape.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.ras_al_khair.to.antwerp_via_cape.253kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.ras_al_khair.to.antwerp_via_suez.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.ras_al_khair.to.jorf_lasfar.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.ras_al_khair.to.jorf_lasfar.253kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.ras_al_khair.to.jorf_lasfar_via_suez.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.ras_al_khair.to.kakinada.15kt.handysize.argus.weekly.usdt
ammonia.freight.price.from.ras_al_khair.to.kakinada.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.ras_al_khair.to.kandla.15kt.handysize.argus.weekly.usdt
ammonia.freight.price.from.ras_al_khair.to.kandla.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.ras_al_khair.to.richards_bay.21kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.ras_al_khair.to.taichung.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.ras_al_khair.to.ulsan.25.3kt.mgc.argus.weekly.usdt
ammonia.freight.price.from.texas_city.to.jorf_lasfar.40kt.lgc.argus.weekly.usdt
ammonia.nrjscan.freight.price.from.arzew.to.antwerp_tees.25.3kt.mgc.argus.weekly.usdt
ammonia.nrjscan.freight.price.from.arzew.to.rotterdam.15kt.handysize.argus.weekly.usdt
ammonia.nrjscan.freight.price.from.bontang.to.kakinada_paradip.25.3kt.mgc.argus.weekly.usdt
ammonia.nrjscan.freight.price.from.bontang.to.paradip.25.3kt.mgc.argus.weekly.usdt
ammonia.nrjscan.freight.price.from.bontang.to.ulsan.15kt.handysize.argus.weekly.usdt
ammonia.nrjscan.freight.price.from.bontang.to.ulsan.25.3kt.mgc.argus.weekly.usdt
ammonia.nrjscan.freight.price.from.donaldsonville.to.antwerp.25.3kt.mgc.argus.weekly.usdt
ammonia.nrjscan.freight.price.from.donaldsonville.to.jorf_lasfar.25.3kt.mgc.argus.weekly.usdt
ammonia.nrjscan.freight.price.from.donaldsonville.to.niihama_via_cape.25.3kt.mgc.argus.weekly.usdt
ammonia.nrjscan.freight.price.from.donaldsonville.to.niihama_via_panama.25.3kt.mgc.argus.weekly.usdt
