zone,n,coverage80,below_p10,above_p90,mean_width,interval_score80,wis_one80
pooled,35040,0.7441495433789954,0.12400114155251142,0.13184931506849315,31.656634319209616,58.92438240773949,7.723490287898335
BE,8760,0.7446347031963471,0.12134703196347033,0.13401826484018264,30.683943005130715,58.450811910164774,7.618646720453238
DE,8760,0.7433789954337899,0.1256849315068493,0.13093607305936072,30.980929976946687,58.786140819920945,7.625391060986618
FR,8760,0.7299086757990868,0.13150684931506848,0.13858447488584474,33.27664865990208,60.17251830093224,8.040310527199807
NL,8760,0.758675799086758,0.11746575342465754,0.12385844748858447,31.68501563485899,58.28805859994003,7.609612842953679
