zone,regime,q99_initial,n,mae,rmse,bias,coverage80_pct
BE,negative,183.81799316406253,330,17.79194075904036,47.38851310878651,4.802361864488503,85.15151515151516
BE,high,183.81799316406253,388,39.81278318284768,84.41571483812785,-26.43618512327417,61.34020618556701
DE,negative,249.92399902343757,527,13.807927527311202,38.30503785300556,4.130527924677406,88.9943074003795
DE,high,249.92399902343757,104,102.2639555042218,131.2805138704158,-87.45679208964549,33.65384615384615
FR,negative,158.46099548339848,577,13.362163610138117,39.86007709215526,2.5530817056969966,85.4419410745234
FR,high,158.46099548339848,626,14.957508473353649,22.45747771230704,-7.148781373693799,70.6070287539936
NL,negative,216.53199462890635,439,15.64325145873577,41.10569479744822,3.7927651330822543,87.47152619589977
NL,high,216.53199462890635,155,73.22893974634573,113.84186241464678,-55.05439525990239,52.25806451612903
