period,zone,comparison,n,days,block_days,reps,seed,mae_delta,mae_delta_ci_low,mae_delta_ci_high,rmse_delta,rmse_delta_ci_low,rmse_delta_ci_high
annual,pooled,nyx minus chronos,35036,365,7,2000,20260915,-1.0371278655251224,-1.2697144828098779,-0.7596837494268315,-1.5385358928757213,-1.9788376987497462,-1.0464800047511
annual,pooled,nyx minus chronos,35036,365,14,2000,20260915,-1.0371278655251224,-1.281201728525381,-0.7054799245963396,-1.5385358928757213,-1.976241873981312,-1.034155196383376
annual,pooled,nyx minus chronos,35036,365,28,2000,20260915,-1.0371278655251224,-1.2907032092677158,-0.6489088353258994,-1.5385358928757213,-1.9423957451700262,-1.0407559038045973
annual,pooled,residual minus chronos,35036,365,7,2000,20260915,-0.9417294413772196,-1.162000595080787,-0.6687050052990481,-1.365999371673034,-1.8252061199188843,-0.8957862256097894
annual,pooled,residual minus chronos,35036,365,14,2000,20260915,-0.9417294413772196,-1.173846124846951,-0.6344502235873789,-1.365999371673034,-1.8318209075134648,-0.8749591721427452
annual,pooled,residual minus chronos,35036,365,28,2000,20260915,-0.9417294413772196,-1.1750349519053684,-0.5607035351683856,-1.365999371673034,-1.7757395276723842,-0.8914467443547308
annual,pooled,nyx minus residual,35036,365,7,2000,20260915,-0.09539842414790274,-0.16944223593588184,-0.0086793205599675,-0.17253652120268725,-0.2865215847983434,-0.052323550784283517
annual,pooled,nyx minus residual,35036,365,14,2000,20260915,-0.09539842414790274,-0.1720658723417588,-0.004315889374885494,-0.17253652120268725,-0.27254851348871495,-0.06516062488131774
annual,pooled,nyx minus residual,35036,365,28,2000,20260915,-0.09539842414790274,-0.16912313045726876,-0.01586760685192122,-0.17253652120268725,-0.2687392180347065,-0.08497268438485518
annual,pooled,nyx minus storm,35036,365,7,2000,20260915,0.07696649041025867,-0.531291039462812,0.7591324094236228,1.159306849754831,-2.6578959571807697,5.032518819565893
annual,pooled,nyx minus storm,35036,365,14,2000,20260915,0.07696649041025867,-0.5509114608226582,0.716625513008935,1.159306849754831,-1.943307728704427,4.149145737781138
annual,pooled,nyx minus storm,35036,365,28,2000,20260915,0.07696649041025867,-0.5553549203449998,0.6106247348229468,1.159306849754831,-1.5112313496678562,3.0693055457013503
annual,BE,nyx minus chronos,8759,365,7,2000,20260915,-0.8640476139758702,-1.1348268552062317,-0.5553385214717419,-1.1760584987471994,-1.9048408973557311,-0.5207186856257459
annual,BE,residual minus chronos,8759,365,7,2000,20260915,-0.7652495650766639,-1.0356027308401838,-0.4661935002976489,-1.0330491645839075,-1.7933842279727206,-0.4097834884042972
annual,BE,nyx minus residual,8759,365,7,2000,20260915,-0.09879804889920629,-0.20974020808617103,0.020859132916036856,-0.14300933416329187,-0.2955862091380296,0.03574206306566108
annual,BE,nyx minus storm,8759,365,7,2000,20260915,0.22914103196784322,-0.6525673009502426,1.32050585649246,0.3245547607978274,-7.7046108074410595,8.380706545538049
annual,DE,nyx minus chronos,8759,365,7,2000,20260915,-1.2698872206262104,-1.5957163584903178,-0.8670828150714354,-2.0574554282454223,-2.591065960635565,-1.4187896726558804
annual,DE,residual minus chronos,8759,365,7,2000,20260915,-1.1804953181533306,-1.4583957320490153,-0.8296501753696026,-1.8277403675620683,-2.3049549326941134,-1.2422932727759228
annual,DE,nyx minus residual,8759,365,7,2000,20260915,-0.08939190247287983,-0.2175026469830068,0.04990777662633034,-0.229715060683354,-0.3616489208210754,-0.07658395075479008
annual,DE,nyx minus storm,8759,365,7,2000,20260915,-0.32440753543612005,-1.1940830865870617,0.5519002795496704,1.8972551899765868,-0.8189534665003748,4.357724824116856
annual,FR,nyx minus chronos,8759,365,7,2000,20260915,-0.8898884996956892,-1.2740260510188233,-0.5128409152765341,-1.1952439816983649,-1.667250059115802,-0.6670997850122536
annual,FR,residual minus chronos,8759,365,7,2000,20260915,-0.7428155991548783,-1.0906421100005452,-0.38774450873758776,-0.9483668943401078,-1.4019763139658639,-0.461830844645158
annual,FR,nyx minus residual,8759,365,7,2000,20260915,-0.14707290054081093,-0.25851252749716425,-0.03310538051057369,-0.24687708735825709,-0.432854804709924,-0.0698903084288046
annual,FR,nyx minus storm,8759,365,7,2000,20260915,0.23036112475812925,-0.4058710712756893,0.8288017903552141,0.5584692088064998,-0.5757000524405698,1.5540036170941034
annual,NL,nyx minus chronos,8759,365,7,2000,20260915,-1.1246881278027163,-1.3549069485083887,-0.8391156340805372,-1.7118956757320802,-2.264794124687478,-1.1287684216471123
annual,NL,residual minus chronos,8759,365,7,2000,20260915,-1.0783572831240023,-1.300702282306687,-0.8033955099876224,-1.6255867066581473,-2.149970851321902,-1.061156816482575
annual,NL,nyx minus residual,8759,365,7,2000,20260915,-0.046330844678713935,-0.139149990085121,0.048698351564695284,-0.08630896907393293,-0.20720717093739188,0.035324526649901565
annual,NL,nyx minus storm,8759,365,7,2000,20260915,0.17277134035118225,-0.593152573284952,1.0047528608916096,1.8923509253790627,-2.143197909970274,6.313693783987779
test90,pooled,nyx minus chronos,8640,90,7,2000,20260915,-1.2961402174886947,-1.803482114146084,-0.7471458381352667,-1.6215727148452928,-2.4101696599314772,-0.5201054266167097
test90,pooled,nyx minus chronos,8640,90,14,2000,20260915,-1.2961402174886947,-1.7807436160562153,-0.6931006499804404,-1.6215727148452928,-2.150116795543034,-0.46816020277179354
test90,pooled,nyx minus chronos,8640,90,28,2000,20260915,-1.2961402174886947,-1.7267079880529106,-0.6194370705799467,-1.6215727148452928,-1.9811461919605513,-0.4826900223114076
test90,pooled,residual minus chronos,8640,90,7,2000,20260915,-1.2282541294225684,-1.7265979877281785,-0.7204532518615416,-1.4260502072019428,-2.099768872028412,-0.47616447389517585
test90,pooled,residual minus chronos,8640,90,14,2000,20260915,-1.2282541294225684,-1.6955710647997184,-0.6878397644031767,-1.4260502072019428,-1.9018770849684568,-0.4420142919808651
test90,pooled,residual minus chronos,8640,90,28,2000,20260915,-1.2282541294225684,-1.5848676972503615,-0.653609580414664,-1.4260502072019428,-1.6959759267189376,-0.43616591085331524
test90,pooled,nyx minus residual,8640,90,7,2000,20260915,-0.06788608806612637,-0.2095386986811802,0.11432136545236722,-0.19552250764335,-0.38211709426487284,0.01687305374012115
test90,pooled,nyx minus residual,8640,90,14,2000,20260915,-0.06788608806612637,-0.16147227381947488,0.09521332885181326,-0.19552250764335,-0.34012014441450955,0.01619960093065982
test90,pooled,nyx minus residual,8640,90,28,2000,20260915,-0.06788608806612637,-0.1668050078824337,0.08138373095908583,-0.19552250764335,-0.37040476006482875,-0.016424314507339378
test90,pooled,nyx minus storm,8640,90,7,2000,20260915,1.4331690643554051,-0.19860666498529014,3.6178146631752823,2.6209452122950943,-9.622925675848414,13.835382835473837
test90,pooled,nyx minus storm,8640,90,14,2000,20260915,1.4331690643554051,-0.183515345552292,2.451896654005262,2.6209452122950943,-9.227351861081182,7.102519202511577
test90,pooled,nyx minus storm,8640,90,28,2000,20260915,1.4331690643554051,-0.05009898471707869,2.183703333572198,2.6209452122950943,-6.961702744755345,8.103812122489256
test90,BE,nyx minus chronos,2160,90,7,2000,20260915,-0.8718959839295166,-1.386458552128528,-0.34359006989026364,-0.8611098295879671,-1.9008509638353148,0.42984879931373954
test90,BE,residual minus chronos,2160,90,7,2000,20260915,-0.8821156302828799,-1.410326233270926,-0.381462587563023,-0.6880286757169074,-1.6197670456731386,0.3152767440216392
test90,BE,nyx minus residual,2160,90,7,2000,20260915,0.010219646353363242,-0.1363591946375195,0.20048624179512015,-0.1730811538710597,-0.41842855344586055,0.16759350925833133
test90,BE,nyx minus storm,2160,90,7,2000,20260915,2.035168709587148,-0.5132918783433565,5.754085931228612,0.7742160943992715,-20.57825110689655,22.052072176610356
test90,DE,nyx minus chronos,2160,90,7,2000,20260915,-1.9597080264742073,-2.6076203104239255,-1.2254609916463868,-2.737572020554307,-3.673213591479639,-1.351496356579659
test90,DE,residual minus chronos,2160,90,7,2000,20260915,-1.7377024641846657,-2.2941636712999744,-1.0950146885586063,-2.3882697608506085,-3.2260840023330406,-1.1426359791920293
test90,DE,nyx minus residual,2160,90,7,2000,20260915,-0.22200556228954155,-0.5221585642066279,0.113255280034202,-0.3493022597036983,-0.6564637107599849,-0.09728254689174035
test90,DE,nyx minus storm,2160,90,7,2000,20260915,1.051294589408666,-0.48769491409599214,3.210490930557635,4.740725127625517,-2.784837023362172,11.357868020506341
test90,FR,nyx minus chronos,2160,90,7,2000,20260915,-0.9044632296583552,-1.6255305508098759,-0.150896302527894,-0.950808167196481,-1.7384117259639944,-0.045262423006311246
test90,FR,residual minus chronos,2160,90,7,2000,20260915,-0.8776504625706669,-1.602250555514785,-0.16872606282100194,-0.8801040126567585,-1.6334192475635185,-0.10032852708092399
test90,FR,nyx minus residual,2160,90,7,2000,20260915,-0.026812767087688337,-0.13243662388305086,0.16570059926739492,-0.07070415453972245,-0.25088132019249054,0.20028128760975247
test90,FR,nyx minus storm,2160,90,7,2000,20260915,1.3501551179110889,-0.011296738982927493,2.5607949546016715,1.373579878838683,-0.8729340710168795,3.2517318515308995
test90,NL,nyx minus chronos,2160,90,7,2000,20260915,-1.4484936298926927,-1.9545879462918399,-0.9571064415635162,-2.0386014038206213,-3.188131071600555,-0.46680427698426263
test90,NL,residual minus chronos,2160,90,7,2000,20260915,-1.415547960652049,-1.9201930892845736,-0.9078651013954544,-1.8608857191163253,-2.856590519711558,-0.4973350202746349
test90,NL,nyx minus residual,2160,90,7,2000,20260915,-0.032945669240643835,-0.23073382270110016,0.17176032670651023,-0.177715684704296,-0.4324137101963865,0.062039666450267074
test90,NL,nyx minus storm,2160,90,7,2000,20260915,1.2960578405147183,-0.6100868376799893,4.029135032737301,4.144495895773289,-8.434587281899292,16.03464998833893
