,actual_15m
2025-10-25 14:45:00+00:00,8.84
2025-10-25 15:00:00+00:00,10.09
2025-10-25 15:15:00+00:00,23.77
2025-10-25 15:30:00+00:00,31.55
2025-10-25 15:45:00+00:00,35.82
2025-10-25 16:00:00+00:00,48.75
2025-10-25 16:15:00+00:00,52.25
2025-10-25 16:30:00+00:00,60.0
2025-10-25 16:45:00+00:00,60.01
2025-10-25 17:00:00+00:00,66.19
2025-10-25 17:15:00+00:00,64.41
2025-10-25 17:30:00+00:00,60.0
2025-10-25 17:45:00+00:00,54.46
2025-10-25 18:00:00+00:00,58.09
2025-10-25 18:15:00+00:00,39.16
2025-10-25 18:30:00+00:00,30.87
2025-10-25 18:45:00+00:00,7.86
2025-10-25 19:00:00+00:00,32.53
2025-10-25 19:15:00+00:00,16.06
2025-10-25 19:30:00+00:00,5.07
2025-10-25 19:45:00+00:00,2.77
2025-10-25 20:00:00+00:00,21.83
2025-10-25 20:15:00+00:00,13.02
2025-10-25 20:30:00+00:00,17.65
2025-10-25 20:45:00+00:00,14.23
2025-10-25 21:00:00+00:00,13.2
2025-10-25 21:15:00+00:00,8.18
2025-10-25 21:30:00+00:00,7.01
2025-10-25 21:45:00+00:00,4.29
2025-10-25 22:00:00+00:00,7.17
2025-10-25 22:15:00+00:00,6.57
2025-10-25 22:30:00+00:00,4.29
2025-10-25 22:45:00+00:00,4.26
2025-10-25 23:00:00+00:00,4.01
2025-10-25 23:15:00+00:00,3.76
2025-10-25 23:30:00+00:00,3.75
2025-10-25 23:45:00+00:00,3.27
2025-10-26 00:00:00+00:00,3.99
2025-10-26 00:15:00+00:00,3.33
2025-10-26 00:30:00+00:00,3.04
2025-10-26 00:45:00+00:00,2.4
2025-10-26 01:00:00+00:00,2.89
2025-10-26 01:15:00+00:00,2.5
2025-10-26 01:30:00+00:00,2.12
2025-10-26 01:45:00+00:00,0.55
2025-10-26 02:00:00+00:00,1.23
2025-10-26 02:15:00+00:00,0.04
2025-10-26 02:30:00+00:00,0.1
2025-10-26 02:45:00+00:00,0.0
2025-10-26 03:00:00+00:00,0.2
2025-10-26 03:15:00+00:00,0.1
2025-10-26 03:30:00+00:00,0.1
2025-10-26 03:45:00+00:00,0.01
2025-10-26 04:00:00+00:00,0.12
2025-10-26 04:15:00+00:00,0.1
2025-10-26 04:30:00+00:00,0.1
2025-10-26 04:45:00+00:00,0.1
2025-10-26 05:00:00+00:00,0.0
2025-10-26 05:15:00+00:00,0.03
2025-10-26 05:30:00+00:00,0.3
2025-10-26 05:45:00+00:00,0.1
2025-10-26 06:00:00+00:00,0.32
2025-10-26 06:15:00+00:00,0.1
2025-10-26 06:30:00+00:00,0.0
2025-10-26 06:45:00+00:00,-0.01
2025-10-26 07:00:00+00:00,0.01
2025-10-26 07:15:00+00:00,0.0
2025-10-26 07:30:00+00:00,-0.01
2025-10-26 07:45:00+00:00,-0.04
2025-10-26 08:00:00+00:00,-0.04
2025-10-26 08:15:00+00:00,-0.07
2025-10-26 08:30:00+00:00,-0.09
2025-10-26 08:45:00+00:00,-1.05
2025-10-26 09:00:00+00:00,-0.07
2025-10-26 09:15:00+00:00,-0.07
2025-10-26 09:30:00+00:00,-0.06
2025-10-26 09:45:00+00:00,-0.06
2025-10-26 10:00:00+00:00,-0.09
2025-10-26 10:15:00+00:00,-0.08
2025-10-26 10:30:00+00:00,-0.07
2025-10-26 10:45:00+00:00,-0.08
2025-10-26 11:00:00+00:00,-0.08
2025-10-26 11:15:00+00:00,-0.07
2025-10-26 11:30:00+00:00,-0.05
2025-10-26 11:45:00+00:00,-0.06
2025-10-26 12:00:00+00:00,-0.06
2025-10-26 12:15:00+00:00,-0.07
2025-10-26 12:30:00+00:00,-1.0
2025-10-26 12:45:00+00:00,-1.05
2025-10-26 13:00:00+00:00,-0.32
2025-10-26 13:15:00+00:00,-1.03
2025-10-26 13:30:00+00:00,-1.04
2025-10-26 13:45:00+00:00,-0.54
2025-10-26 14:00:00+00:00,-1.02
2025-10-26 14:15:00+00:00,-0.07
2025-10-26 14:30:00+00:00,0.0
2025-10-26 14:45:00+00:00,1.05
2025-10-26 15:00:00+00:00,-0.04
2025-10-26 15:15:00+00:00,0.1
2025-10-26 15:30:00+00:00,0.0
2025-10-26 15:45:00+00:00,12.09
2025-10-26 16:00:00+00:00,3.83
2025-10-26 16:15:00+00:00,27.51
2025-10-26 16:30:00+00:00,42.19
2025-10-26 16:45:00+00:00,46.48
2025-10-26 17:00:00+00:00,47.82
2025-10-26 17:15:00+00:00,43.86
2025-10-26 17:30:00+00:00,49.34
2025-10-26 17:45:00+00:00,27.07
2025-10-26 18:00:00+00:00,41.4
2025-10-26 18:15:00+00:00,39.7
2025-10-26 18:30:00+00:00,30.0
2025-10-26 18:45:00+00:00,27.82
2025-10-26 19:00:00+00:00,43.49
2025-10-26 19:15:00+00:00,17.91
2025-10-26 19:30:00+00:00,2.57
2025-10-26 19:45:00+00:00,2.6
2025-10-26 20:00:00+00:00,3.88
2025-10-26 20:15:00+00:00,2.66
2025-10-26 20:30:00+00:00,3.17
2025-10-26 20:45:00+00:00,2.55
2025-10-26 21:00:00+00:00,14.06
2025-10-26 21:15:00+00:00,11.43
2025-10-26 21:30:00+00:00,22.63
2025-10-26 21:45:00+00:00,11.51
2025-10-26 22:00:00+00:00,2.56
2025-10-26 22:15:00+00:00,9.13
2025-10-26 22:30:00+00:00,5.39
2025-10-26 22:45:00+00:00,3.16
2025-10-26 23:00:00+00:00,2.82
2025-10-26 23:15:00+00:00,2.55
2025-10-26 23:30:00+00:00,0.0
2025-10-26 23:45:00+00:00,0.0
2025-10-27 00:00:00+00:00,2.83
2025-10-27 00:15:00+00:00,2.49
2025-10-27 00:30:00+00:00,1.19
2025-10-27 00:45:00+00:00,0.79
2025-10-27 01:00:00+00:00,2.81
2025-10-27 01:15:00+00:00,1.38
2025-10-27 01:30:00+00:00,0.72
2025-10-27 01:45:00+00:00,0.09
2025-10-27 02:00:00+00:00,0.0
2025-10-27 02:15:00+00:00,0.0
2025-10-27 02:30:00+00:00,0.0
2025-10-27 02:45:00+00:00,-0.01
2025-10-27 03:00:00+00:00,-0.1
2025-10-27 03:15:00+00:00,0.0
2025-10-27 03:30:00+00:00,1.07
2025-10-27 03:45:00+00:00,4.26
2025-10-27 04:00:00+00:00,3.82
2025-10-27 04:15:00+00:00,4.27
2025-10-27 04:30:00+00:00,10.77
2025-10-27 04:45:00+00:00,24.27
2025-10-27 05:00:00+00:00,15.5
2025-10-27 05:15:00+00:00,36.2
2025-10-27 05:30:00+00:00,68.27
2025-10-27 05:45:00+00:00,100.03
2025-10-27 06:00:00+00:00,74.1
2025-10-27 06:15:00+00:00,89.68
2025-10-27 06:30:00+00:00,89.99
2025-10-27 06:45:00+00:00,90.49
2025-10-27 07:00:00+00:00,101.98
2025-10-27 07:15:00+00:00,101.7
2025-10-27 07:30:00+00:00,101.87
2025-10-27 07:45:00+00:00,95.04
2025-10-27 08:00:00+00:00,109.35
2025-10-27 08:15:00+00:00,105.01
2025-10-27 08:30:00+00:00,100.97
2025-10-27 08:45:00+00:00,92.11
2025-10-27 09:00:00+00:00,105.0
2025-10-27 09:15:00+00:00,99.63
2025-10-27 09:30:00+00:00,95.01
2025-10-27 09:45:00+00:00,87.31
2025-10-27 10:00:00+00:00,99.21
2025-10-27 10:15:00+00:00,97.53
2025-10-27 10:30:00+00:00,93.01
2025-10-27 10:45:00+00:00,88.78
2025-10-27 11:00:00+00:00,88.05
2025-10-27 11:15:00+00:00,80.05
2025-10-27 11:30:00+00:00,81.15
2025-10-27 11:45:00+00:00,81.54
2025-10-27 12:00:00+00:00,82.55
2025-10-27 12:15:00+00:00,82.17
2025-10-27 12:30:00+00:00,81.34
2025-10-27 12:45:00+00:00,78.43
2025-10-27 13:00:00+00:00,75.34
2025-10-27 13:15:00+00:00,80.39
2025-10-27 13:30:00+00:00,84.72
2025-10-27 13:45:00+00:00,92.94
2025-10-27 14:00:00+00:00,73.92
2025-10-27 14:15:00+00:00,73.99
2025-10-27 14:30:00+00:00,87.3
2025-10-27 14:45:00+00:00,99.45
2025-10-27 15:00:00+00:00,87.3
2025-10-27 15:15:00+00:00,94.73
2025-10-27 15:30:00+00:00,103.89
2025-10-27 15:45:00+00:00,111.01
2025-10-27 16:00:00+00:00,100.52
2025-10-27 16:15:00+00:00,106.68
2025-10-27 16:30:00+00:00,113.06
2025-10-27 16:45:00+00:00,122.58
2025-10-27 17:00:00+00:00,114.27
2025-10-27 17:15:00+00:00,119.64
2025-10-27 17:30:00+00:00,136.43
2025-10-27 17:45:00+00:00,135.81
2025-10-27 18:00:00+00:00,136.77
2025-10-27 18:15:00+00:00,123.88
2025-10-27 18:30:00+00:00,102.93
2025-10-27 18:45:00+00:00,90.41
2025-10-27 19:00:00+00:00,104.98
2025-10-27 19:15:00+00:00,107.92
2025-10-27 19:30:00+00:00,92.68
2025-10-27 19:45:00+00:00,74.56
2025-10-27 20:00:00+00:00,88.9
2025-10-27 20:15:00+00:00,87.33
2025-10-27 20:30:00+00:00,72.52
2025-10-27 20:45:00+00:00,63.01
2025-10-27 21:00:00+00:00,83.93
2025-10-27 21:15:00+00:00,76.05
2025-10-27 21:30:00+00:00,76.19
2025-10-27 21:45:00+00:00,61.75
2025-10-27 22:00:00+00:00,80.0
2025-10-27 22:15:00+00:00,68.02
2025-10-27 22:30:00+00:00,55.61
2025-10-27 22:45:00+00:00,46.07
2025-10-27 23:00:00+00:00,54.94
2025-10-27 23:15:00+00:00,51.65
2025-10-27 23:30:00+00:00,41.12
2025-10-27 23:45:00+00:00,28.73
2025-10-28 00:00:00+00:00,39.94
2025-10-28 00:15:00+00:00,28.49
2025-10-28 00:30:00+00:00,26.73
2025-10-28 00:45:00+00:00,20.37
2025-10-28 01:00:00+00:00,21.79
2025-10-28 01:15:00+00:00,18.07
2025-10-28 01:30:00+00:00,17.4
2025-10-28 01:45:00+00:00,16.91
2025-10-28 02:00:00+00:00,13.19
