,actual_15m
2025-10-24 19:00:00+00:00,60.52
2025-10-24 19:15:00+00:00,51.5
2025-10-24 19:30:00+00:00,36.69
2025-10-24 19:45:00+00:00,17.32
2025-10-24 20:00:00+00:00,36.41
2025-10-24 20:15:00+00:00,28.45
2025-10-24 20:30:00+00:00,30.82
2025-10-24 20:45:00+00:00,20.01
2025-10-24 21:00:00+00:00,23.19
2025-10-24 21:15:00+00:00,7.52
2025-10-24 21:30:00+00:00,5.27
2025-10-24 21:45:00+00:00,3.89
2025-10-24 22:00:00+00:00,3.26
2025-10-24 22:15:00+00:00,4.21
2025-10-24 22:30:00+00:00,3.84
2025-10-24 22:45:00+00:00,2.79
2025-10-24 23:00:00+00:00,2.34
2025-10-24 23:15:00+00:00,2.11
2025-10-24 23:30:00+00:00,0.78
2025-10-24 23:45:00+00:00,0.05
2025-10-25 00:00:00+00:00,2.28
2025-10-25 00:15:00+00:00,1.32
2025-10-25 00:30:00+00:00,0.1
2025-10-25 00:45:00+00:00,0.0
2025-10-25 01:00:00+00:00,0.0
2025-10-25 01:15:00+00:00,0.0
2025-10-25 01:30:00+00:00,0.0
2025-10-25 01:45:00+00:00,-0.01
2025-10-25 02:00:00+00:00,-0.01
2025-10-25 02:15:00+00:00,-0.01
2025-10-25 02:30:00+00:00,0.0
2025-10-25 02:45:00+00:00,-0.01
2025-10-25 03:00:00+00:00,0.0
2025-10-25 03:15:00+00:00,0.0
2025-10-25 03:30:00+00:00,0.37
2025-10-25 03:45:00+00:00,0.29
2025-10-25 04:00:00+00:00,-0.01
2025-10-25 04:15:00+00:00,0.0
2025-10-25 04:30:00+00:00,0.52
2025-10-25 04:45:00+00:00,1.58
2025-10-25 05:00:00+00:00,1.6
2025-10-25 05:15:00+00:00,1.93
2025-10-25 05:30:00+00:00,0.45
2025-10-25 05:45:00+00:00,-0.02
2025-10-25 06:00:00+00:00,3.87
2025-10-25 06:15:00+00:00,3.23
2025-10-25 06:30:00+00:00,4.24
2025-10-25 06:45:00+00:00,4.64
2025-10-25 07:00:00+00:00,8.46
2025-10-25 07:15:00+00:00,7.32
2025-10-25 07:30:00+00:00,7.08
2025-10-25 07:45:00+00:00,7.47
2025-10-25 08:00:00+00:00,7.79
2025-10-25 08:15:00+00:00,7.45
2025-10-25 08:30:00+00:00,6.24
2025-10-25 08:45:00+00:00,5.43
2025-10-25 09:00:00+00:00,5.45
2025-10-25 09:15:00+00:00,3.58
2025-10-25 09:30:00+00:00,5.05
2025-10-25 09:45:00+00:00,4.98
2025-10-25 10:00:00+00:00,5.03
2025-10-25 10:15:00+00:00,5.87
2025-10-25 10:30:00+00:00,7.48
2025-10-25 10:45:00+00:00,6.0
2025-10-25 11:00:00+00:00,5.09
2025-10-25 11:15:00+00:00,4.07
2025-10-25 11:30:00+00:00,3.77
2025-10-25 11:45:00+00:00,4.55
2025-10-25 12:00:00+00:00,1.62
2025-10-25 12:15:00+00:00,2.5
2025-10-25 12:30:00+00:00,5.04
2025-10-25 12:45:00+00:00,6.96
2025-10-25 13:00:00+00:00,1.39
2025-10-25 13:15:00+00:00,4.96
2025-10-25 13:30:00+00:00,5.06
2025-10-25 13:45:00+00:00,4.37
2025-10-25 14:00:00+00:00,3.88
2025-10-25 14:15:00+00:00,5.05
2025-10-25 14:30:00+00:00,4.46
