period,subset,zone,model,days,n,mae,rmse,bias
test75,native_fallback_only,NL,nyx,4,96,14.269480209362593,21.90069662604881,9.364684229465135
test75,native_fallback_only,NL,storm,4,96,11.778952145833335,16.563859498114507,-0.3154116249999994
test75,cache_only_no_label_fallback,pooled,nyx,72,6864,13.75287816137334,31.200742285318466,-2.6313802680964358
test75,cache_only_no_label_fallback,pooled,storm,72,6864,12.157021093677155,28.672160480512947,-3.322054563665502
test75,cache_only_no_label_fallback,BE,nyx,72,1728,15.792558659767792,39.97652087546097,-3.1289321230834988
test75,cache_only_no_label_fallback,BE,storm,72,1728,13.388161071180555,39.63370010400688,-3.283119338541667
test75,cache_only_no_label_fallback,DE,nyx,72,1728,12.383830245817926,28.309893437398138,-2.8103373127049482
test75,cache_only_no_label_fallback,DE,storm,72,1728,11.358093736689815,23.63333171891233,-3.590760354745371
test75,cache_only_no_label_fallback,FR,nyx,71,1704,13.321238819034834,18.879877927933222,-1.5996664581188977
test75,cache_only_no_label_fallback,FR,storm,71,1704,11.765398227699531,17.21689388230128,-3.8543151326291087
test75,cache_only_no_label_fallback,NL,nyx,71,1704,13.504439391537048,33.63849811381313,-2.977056884117897
test75,cache_only_no_label_fallback,NL,storm,71,1704,12.110343837441315,29.253233201000953,-2.556787223591549
