support,zone,label,model,days,first,last,n,mae,rmse,bias
nyx_naive_common,pooled,observed,weekly_naive,343,2025-09-23,2026-08-31,32924,33.64872915654234,51.356503760839054,-1.3474257000971934
nyx_naive_common,pooled,observed,nyx,343,2025-09-23,2026-08-31,32924,11.183354711165308,21.74869290680519,-0.7220027587174284
nyx_naive_common,pooled,observed,chronos,343,2025-09-23,2026-08-31,32924,12.14467638048952,23.202562997370357,-0.5500020309921942
nyx_naive_common,pooled,observed,residual,343,2025-09-23,2026-08-31,32924,11.277601650223398,21.91462951203614,-0.9654098751698238
nyx_naive_common,pooled,frozen_actual,weekly_naive,343,2025-09-23,2026-08-31,32924,33.6497802894545,51.35699896727754,-1.3484768330093546
nyx_naive_common,pooled,frozen_actual,nyx,343,2025-09-23,2026-08-31,32924,11.183045780090149,21.74857893951945,-0.7230538916295897
nyx_naive_common,pooled,frozen_actual,chronos,343,2025-09-23,2026-08-31,32924,12.144332033508595,23.2024701492596,-0.5510531639043555
nyx_naive_common,pooled,frozen_actual,residual,343,2025-09-23,2026-08-31,32924,11.277017709815468,21.914493385750337,-0.9664610080819851
nyx_naive_common,BE,observed,weekly_naive,343,2025-09-23,2026-08-31,8231,31.9051696330944,50.72143001196267,-1.4779384339691413
nyx_naive_common,BE,observed,nyx,343,2025-09-23,2026-08-31,8231,10.903159660405276,23.737213596677208,-0.9883470585681463
nyx_naive_common,BE,observed,chronos,343,2025-09-23,2026-08-31,8231,11.702380506215647,24.85368080607785,-0.7399548969577211
nyx_naive_common,BE,observed,residual,343,2025-09-23,2026-08-31,8231,11.006066310545853,23.88539764311827,-1.329357312936231
nyx_naive_common,BE,frozen_actual,weekly_naive,343,2025-09-23,2026-08-31,8231,31.906300115417324,50.72189009117394,-1.4790689162920663
nyx_naive_common,BE,frozen_actual,nyx,343,2025-09-23,2026-08-31,8231,10.902029178082348,23.736922930095538,-0.9894775408910718
nyx_naive_common,BE,frozen_actual,chronos,343,2025-09-23,2026-08-31,8231,11.701447431255133,24.853506137925386,-0.7410853792806464
nyx_naive_common,BE,frozen_actual,residual,343,2025-09-23,2026-08-31,8231,11.004992118140681,23.885188406406794,-1.3304877952591565
nyx_naive_common,DE,observed,weekly_naive,343,2025-09-23,2026-08-31,8231,35.31679565058924,54.46854789620643,-1.1453031223423646
nyx_naive_common,DE,observed,nyx,343,2025-09-23,2026-08-31,8231,10.877957712282905,21.535751342301246,-0.7619310712363065
nyx_naive_common,DE,observed,chronos,343,2025-09-23,2026-08-31,8231,12.022624079285627,23.416590134176698,-0.975322312048354
nyx_naive_common,DE,observed,residual,343,2025-09-23,2026-08-31,8231,10.958133691548968,21.73155998385499,-1.0468954910127624
nyx_naive_common,DE,frozen_actual,weekly_naive,343,2025-09-23,2026-08-31,8231,35.31789606366177,54.46888283109711,-1.146403535414895
nyx_naive_common,DE,frozen_actual,nyx,343,2025-09-23,2026-08-31,8231,10.876857299210375,21.535433811001404,-0.7630314843088372
nyx_naive_common,DE,frozen_actual,chronos,343,2025-09-23,2026-08-31,8231,12.021523666213097,23.416315283411137,-0.9764227251208846
nyx_naive_common,DE,frozen_actual,residual,343,2025-09-23,2026-08-31,8231,10.957033278476437,21.731281659503704,-1.047995904085293
nyx_naive_common,FR,observed,weekly_naive,343,2025-09-23,2026-08-31,8231,35.166302848985545,48.77668080387256,-1.7031738245656658
nyx_naive_common,FR,observed,nyx,343,2025-09-23,2026-08-31,8231,12.025720649244056,19.091843719382396,-0.32279187000145354
