zone,n,coverage80,below_p10,above_p90,mean_width,interval_score80,wis_one80
pooled,33600,0.7469345238095239,0.12235119047619047,0.13071428571428573,31.391129631655556,57.777110741767196,7.581349789079776
BE,8400,0.7466666666666667,0.12059523809523809,0.13273809523809524,30.370001732508342,56.91326281673147,7.430320554302884
DE,8400,0.7464285714285714,0.12452380952380952,0.12904761904761905,30.693574513480776,57.52118701600499,7.471835297212075
FR,8400,0.7322619047619048,0.1286904761904762,0.13904761904761906,33.05909959475199,59.50281272980184,7.95546368456188
NL,8400,0.7623809523809524,0.1155952380952381,0.12202380952380952,31.441842685881117,57.171180404530496,7.467779620242267
