zone,model,n,mae,rmse,bias
BE,chronos,8399,11.760731212742114,24.76686820345433,-0.6749176536753186
BE,residual,8399,11.010941655879968,23.76438684811971,-1.3300355518822768
BE,nyx,8399,10.907908900753391,23.613951181297388,-0.9805125894797803
BE,storm,8399,10.698147606500774,23.457079229380906,-2.5276740822716994
DE,chronos,8399,12.102428455651864,23.46845649011884,-0.8181164447255628
DE,residual,8399,10.990639663423334,21.770970575127294,-0.9344747765693656
DE,nyx,8399,10.912411342748438,21.57080824928911,-0.6601481907220048
DE,storm,8399,11.295950395285153,19.885127889373198,-1.4885321593046794
FR,chronos,8399,12.84173152096571,20.1796687933199,0.28869724170532207
FR,residual,8399,12.114676728678624,19.245216423439743,-0.39679251796872833
FR,nyx,8399,11.966398461849163,18.996100322124278,-0.26952191331921704
FR,storm,8399,11.841860785926896,18.56267839873362,-1.9260579332063341
NL,chronos,8399,12.08509460852006,24.071026151183197,-0.5829475804995832
NL,residual,8399,11.018661155563489,22.474518209887552,-0.9434153957781382
NL,nyx,8399,10.970220973913817,22.38626103457852,-0.7364757943659032
NL,storm,8399,10.81205348339088,20.526753396391776,-1.490499125014883
