support,zone,comparison,n,days,block_days,reps,seed,mae_delta,mae_delta_ci_low,mae_delta_ci_high,rmse_delta,rmse_delta_ci_low,rmse_delta_ci_high
nyx_naive_common,pooled,nyx minus weekly_naive,32924,343,7,2000,20260915,-22.465374445377034,-25.399590217329067,-19.7841041041902,-29.607810854033865,-35.028848898321435,-25.0275921210234
nyx_naive_common,pooled,chronos minus weekly_naive,32924,343,7,2000,20260915,-21.50405277605282,-24.317779887409703,-18.942817354744008,-28.153940763468693,-33.63594035663587,-23.545959151980416
nyx_naive_common,pooled,residual minus weekly_naive,32924,343,7,2000,20260915,-22.371127506318945,-25.271375342311185,-19.70937288175999,-29.441874248802915,-34.850692336645146,-24.851216968467096
nyx_naive_common,BE,nyx minus weekly_naive,8231,343,7,2000,20260915,-21.00200997268913,-23.954029461269958,-18.274236837414627,-26.98421641528546,-33.88524373269039,-21.15907318261052
nyx_naive_common,BE,chronos minus weekly_naive,8231,343,7,2000,20260915,-20.202789126878756,-23.08684046447396,-17.583045073616372,-25.867749205884817,-32.82682864578219,-20.06951471279985
nyx_naive_common,BE,residual minus weekly_naive,8231,343,7,2000,20260915,-20.89910332254855,-23.825225272625232,-18.141943159482416,-26.8360323688444,-33.82220862095335,-20.95367404196233
nyx_naive_common,DE,nyx minus weekly_naive,8231,343,7,2000,20260915,-24.438837938306328,-27.688270031535517,-21.30064977747452,-32.93279655390518,-38.30677668540043,-27.950416475364275
nyx_naive_common,DE,chronos minus weekly_naive,8231,343,7,2000,20260915,-23.294171571303604,-26.41228755262505,-20.23125302755778,-31.051957762029726,-36.366194156412746,-26.019727828232718
nyx_naive_common,DE,residual minus weekly_naive,8231,343,7,2000,20260915,-24.358661959040266,-27.542704472643,-21.195305950247217,-32.73698791235144,-38.098610041477585,-27.800158873761582
nyx_naive_common,FR,nyx minus weekly_naive,8231,343,7,2000,20260915,-23.140582199741488,-26.824266116562235,-20.18974242201893,-29.684837084490162,-34.88103928000588,-25.605232190053222
nyx_naive_common,FR,chronos minus weekly_naive,8231,343,7,2000,20260915,-22.300215310373463,-25.923697771951762,-19.473939150573884,-28.52123902490092,-33.97914777534983,-24.25879993061619
nyx_naive_common,FR,residual minus weekly_naive,8231,343,7,2000,20260915,-22.993855585982168,-26.71724615599716,-20.078868179825765,-29.437518439963373,-34.550924406185665,-25.296593423349837
nyx_naive_common,NL,nyx minus weekly_naive,8231,343,7,2000,20260915,-21.2800676707712,-24.186720908073532,-18.472012727206458,-28.929363456100862,-34.5627991443108,-23.979408244699332
nyx_naive_common,NL,chronos minus weekly_naive,8231,343,7,2000,20260915,-20.21903509565546,-22.996176171539545,-17.546516716571357,-27.27317990926551,-32.95595023465695,-22.240118747364615
nyx_naive_common,NL,residual minus weekly_naive,8231,343,7,2000,20260915,-21.232889157704797,-24.114226205786036,-18.45021388066474,-28.841289556528782,-34.45773810821744,-23.89962448838946
all_models_common,pooled,nyx minus weekly_naive,32920,343,7,2000,20260915,-22.46125497958731,-25.399590217329067,-19.773523522577612,-29.60489435680006,-35.02641955036359,-25.02634908818708
all_models_common,pooled,chronos minus weekly_naive,32920,343,7,2000,20260915,-21.500148785139825,-24.310768319346376,-18.942711958108386,-28.151097913522182,-33.6345941114653,-23.542187877152184
all_models_common,pooled,residual minus weekly_naive,32920,343,7,2000,20260915,-22.367363273121654,-25.271375342311185,-19.70927067555385,-29.43909664590163,-34.84843511112866,-24.850565634234883
all_models_common,pooled,storm minus weekly_naive,32920,343,7,2000,20260915,-22.478686675637913,-25.246785564420836,-19.839907673021724,-30.568091315020702,-35.81090789046806,-25.479551450939876
all_models_common,BE,nyx minus weekly_naive,8230,343,7,2000,20260915,-20.999490420911336,-23.953019996924706,-18.274165501484084,-26.98261970164532,-33.88259735601889,-21.15498012113058
all_models_common,BE,chronos minus weekly_naive,8230,343,7,2000,20260915,-20.20070144177145,-23.083365556139018,-17.58069981549881,-25.86641128112435,-32.82681437327168,-20.06500767093176
all_models_common,BE,residual minus weekly_naive,8230,343,7,2000,20260915,-20.89683179673802,-23.823353743167367,-18.141747565416562,-26.834590752789698,-33.82220862095335,-20.951787026412052
all_models_common,BE,storm minus weekly_naive,8230,343,7,2000,20260915,-21.213234911057114,-24.140824257094696,-18.43332586891758,-27.123306942194656,-35.4766305697686,-19.17207982321338
all_models_common,DE,nyx minus weekly_naive,8230,343,7,2000,20260915,-24.432355407692732,-27.688270031535517,-21.29359699486159,-32.927822920060024,-38.30677668540043,-27.950099666902823
all_models_common,DE,chronos minus weekly_naive,8230,343,7,2000,20260915,-23.287419017108142,-26.40591230172279,-20.22425269015386,-31.04686514853248,-36.36147625680172,-26.010629403586954
all_models_common,DE,residual minus weekly_naive,8230,343,7,2000,20260915,-24.352323145884036,-27.542704472643,-21.195303451683518,-32.73201606540121,-38.098504903503,-27.78655498723499
all_models_common,DE,storm minus weekly_naive,8230,343,7,2000,20260915,-24.006255571202917,-27.22837278123961,-20.810841913222895,-34.4999775068432,-39.58661379838377,-29.49899170189294
all_models_common,FR,nyx minus weekly_naive,8230,343,7,2000,20260915,-23.139373738747672,-26.822763139577585,-20.18970322461993,-29.684785188835427,-34.881049671934306,-25.605185431556883
all_models_common,FR,chronos minus weekly_naive,8230,343,7,2000,20260915,-22.29959002470036,-25.923697771951762,-19.47367653974795,-28.521445282331136,-33.979204307332424,-24.25879993061619
all_models_common,FR,residual minus weekly_naive,8230,343,7,2000,20260915,-22.99341389977725,-26.717256886596097,-20.078848215956707,-29.437871641079028,-34.551776735071584,-25.296536975557213
all_models_common,FR,storm minus weekly_naive,8230,343,7,2000,20260915,-23.32147642478736,-26.748644375953692,-20.538945388571094,-30.154495123962224,-34.64782028419994,-26.435571185503292
all_models_common,NL,nyx minus weekly_naive,8230,343,7,2000,20260915,-21.2738003509975,-24.17503902694635,-18.46467533502191,-28.92456522065236,-34.55867060794261,-23.977452946215088
all_models_common,NL,chronos minus weekly_naive,8230,343,7,2000,20260915,-20.212884656979355,-22.991350458483407,-17.546354707722294,-27.268307079936264,-32.95595023465695,-22.240118747364615
all_models_common,NL,residual minus weekly_naive,8230,343,7,2000,20260915,-21.22688425008733,-24.106773962726333,-18.44372201908269,-28.836517954652848,-34.4535340997207,-23.89962448838946
all_models_common,NL,storm minus weekly_naive,8230,343,7,2000,20260915,-21.373779795504262,-24.1844952464871,-18.520310555635913,-30.651174225898288,-36.17438917681128,-25.394233624399075
