zone,n,mean,sd,min,median,max,negative_hours
BE,8400,94.76047470238096,54.75999518757568,-497.905,96.11625000000001,933.2825,328
DE,8400,99.50042172619047,57.71824656700195,-499.0,101.16875,665.8199999999999,507
FR,8400,69.25938273809523,54.14793450874943,-496.8625,72.24875,338.8625,566
NL,8400,97.70039107142857,55.658470544546745,-498.4425,98.36,799.355,426
