stage,family,group,value,n,mae,rmse,bias
test,nyx,overall,all,8640,14.191395139008183,30.19601332207439,-1.8524166040584602
test,nyx,country,BE,2160,16.10764101560567,37.863589980209504,-2.5442023485813716
test,nyx,country_hour,BE:00,90,9.448763744082298,15.78612376131095,0.14264983511119975
test,nyx,country_hour,BE:01,90,8.350650372087612,12.805350681311964,-0.703599077558734
test,nyx,country_hour,BE:02,90,8.703505625742386,13.365999050205286,-0.9723593671911591
test,nyx,country_hour,BE:03,90,8.803019570424109,13.887730279092995,-0.938970095809129
test,nyx,country_hour,BE:04,90,8.71624698834781,13.787171859178088,0.1398298955738099
test,nyx,country_hour,BE:05,90,8.825194261596803,14.013383545640513,0.39419261917399684
test,nyx,country_hour,BE:06,90,10.193687777321347,15.176821577306441,-2.1143072618460907
test,nyx,country_hour,BE:07,90,11.278833208845798,15.696970761053189,-1.3743066358462857
test,nyx,country_hour,BE:08,90,12.815429745902293,16.557535778032893,-0.8169571643335571
test,nyx,country_hour,BE:09,90,13.886708900119427,19.21663471464402,0.23009617592356202
test,nyx,country_hour,BE:10,90,14.973740293694865,21.046747028251442,1.6352403971504401
test,nyx,country_hour,BE:11,90,15.38659591216436,21.926668336383603,-0.4595835002027041
test,nyx,country_hour,BE:12,90,15.357836084639676,21.971534181991196,-2.2302923391780984
test,nyx,country_hour,BE:13,90,14.898054001919844,21.327120307737594,-0.2425807603174216
test,nyx,country_hour,BE:14,90,16.715172935116946,23.948344747090214,-0.780339965990508
test,nyx,country_hour,BE:15,90,16.08825817253888,22.472325639469446,0.5497718464629039
test,nyx,country_hour,BE:16,90,15.907167050318023,21.952820951966178,-0.9231176485519414
test,nyx,country_hour,BE:17,90,15.4211075109378,21.17245098524411,-0.14928867703641358
test,nyx,country_hour,BE:18,90,15.724233687419456,23.74189257565737,-3.8026337105297916
test,nyx,country_hour,BE:19,90,31.132079150969947,65.34085106418893,-13.052483962949976
test,nyx,country_hour,BE:20,90,42.67817655340033,99.04390410566977,-14.159642602033433
test,nyx,country_hour,BE:21,90,36.69314848552056,96.76314534053468,-11.548542438055984
test,nyx,country_hour,BE:22,90,21.77996209667197,60.4818707572447,-6.581341805034204
test,nyx,country_hour,BE:23,90,12.805812244753529,24.13059371404339,-3.302290122883399
test,nyx,country_negative,BE,73,6.410439396053163,10.037384073420485,1.225722508020872
test,nyx,country_train_q95,BE,992,19.563108241882272,52.08462583513385,-8.050843440119028
test,nyx,country,DE,2160,13.068642471816073,28.652134760670922,-2.2759326427504214
test,nyx,country_hour,DE:00,90,8.011714838633319,10.908206399710549,-0.7551115404830957
test,nyx,country_hour,DE:01,90,7.308718263638981,10.283143847039065,-1.5626081396989144
test,nyx,country_hour,DE:02,90,7.5357982264896055,10.768268894131726,-2.3327011569940717
test,nyx,country_hour,DE:03,90,7.817996038618049,11.034860689468076,-2.674093568913095
test,nyx,country_hour,DE:04,90,8.24152191911145,11.392595695100493,-1.3025138886068508
test,nyx,country_hour,DE:05,90,8.422271704546255,11.400981989750976,-0.5693280258879534
test,nyx,country_hour,DE:06,90,8.700451016536544,11.694001957586053,-2.59197475763819
test,nyx,country_hour,DE:07,90,8.824011538503347,11.991357863932583,-2.375581593310487
test,nyx,country_hour,DE:08,90,10.001774822993902,13.394951210146544,-1.275584144753716
test,nyx,country_hour,DE:09,90,11.010021419625405,14.91536531458511,0.7045613194762964
test,nyx,country_hour,DE:10,90,11.200493219370033,15.247892285705397,0.8085594916258928
test,nyx,country_hour,DE:11,90,12.951375757703643,17.284726318443976,0.04375542016711746
test,nyx,country_hour,DE:12,90,11.147606594436606,14.879887873083119,-0.5347931824569507
test,nyx,country_hour,DE:13,90,10.049335515615988,14.177085735018247,0.896877973482368
test,nyx,country_hour,DE:14,90,10.950546044362934,15.179048184543678,1.4731474276065115
test,nyx,country_hour,DE:15,90,11.385599610261167,15.062670242612977,1.1195594665210986
