stage,family,baseline,zone,n,days,candidate_mae,baseline_mae,candidate_rmse,baseline_rmse,mae_delta,rmse_delta,bias_delta,mae_relative_improvement,mae_delta_ci_low,mae_delta_ci_high,rmse_delta_ci_low,rmse_delta_ci_high,bootstrap_block_days,bootstrap_repetitions
test,raw_hourly,nyx,all,8640,90,15.499604577673809,14.19139513900818,31.859519769155497,30.196013322074386,1.3082094386656298,1.6635064470811116,0.9879858201597179,-0.09218328612877014,0.7714327225791624,1.8237256120032015,0.5044822308065484,2.4752938654795296,7,1000
test,raw_hourly,nyx,BE,2160,90,16.96999288071527,16.10764101560566,38.74087706381428,37.8635899802095,0.8623518651096092,0.8772870836047844,0.6455510218720479,-0.05353681921978093,0.3350305957044039,1.4178148305674794,-0.47567594101194216,1.8937682565571412,7,1000
test,raw_hourly,nyx,DE,2160,90,15.028447581750374,13.06864247181607,31.453837828304582,28.65213476067092,1.9598051099343046,2.801703067633664,1.0084451759382878,-0.14996240919137804,1.2230095608450668,2.6113523993652294,1.4426864479351522,3.6881058173302934,7,1000
test,raw_hourly,nyx,FR,2160,90,14.614868591485203,13.653686735966643,20.422073202861515,19.413891540142295,0.9611818555185607,1.0081816627192204,1.2900397889326056,-0.07039723952261245,0.13578988502603367,1.7370316481843107,0.046865192244609596,1.8107045550097745,7,1000
test,raw_hourly,nyx,NL,2160,90,15.38510925674439,13.935610332644346,33.953725215047484,31.87007099022685,1.4494989241000429,2.0836542248206342,1.0079072938959317,-0.10401402518442793,0.9354412434009136,1.9643834718342839,0.5339705645490012,3.201964910482338,7,1000
test,raw_quarterhour,nyx,all,8640,90,15.215584724832473,14.19139513900818,31.577476461421163,30.196013322074386,1.0241895858242938,1.3814631393467778,-0.40432862437779815,-0.07216976032251288,0.196064754181499,1.9046035537083583,0.18788632975443761,2.828633741663541,7,1000
test,raw_quarterhour,nyx,BE,2160,90,17.373833452966476,16.10764101560566,38.60174720530919,37.8635899802095,1.2661924373608144,0.7381572250996911,-1.511725152002136,-0.07860818577556339,0.2382396915734576,2.240661349823981,-0.6651098796244737,2.844789325282922,7,1000
test,raw_quarterhour,nyx,DE,2160,90,14.468972646342388,13.06864247181607,31.05174681121492,28.65213476067092,1.400330174526319,2.3996120505440004,-0.21364499815389904,-0.10715192320444,0.4120596018459849,2.335985585943382,0.6544637195507573,3.8827945276060167,7,1000
test,raw_quarterhour,nyx,FR,2160,90,13.623897684627112,13.653686735966643,19.91644919524711,19.413891540142295,-0.029789051339530914,0.5025576551048161,0.6896341192787484,0.0021817588110514263,-1.0654893051695262,1.050660041390432,-0.5454971152525678,1.69729026302385,7,1000
test,raw_quarterhour,nyx,NL,2160,90,15.395635115393876,13.935610332644346,33.72798930872073,31.87007099022685,1.4600247827495298,1.85791831849388,-0.5815784666339043,-0.10476934614979894,0.5064598812296779,2.379896571056034,0.13499088551430036,3.5111258717489413,7,1000
