zone,BE,DE,FR,NL
BE,1.0,0.5943853487569477,0.42536725753095994,0.7724559134402521
DE,0.5943853487569477,1.0,0.18006042446635864,0.7102788756494969
FR,0.42536725753095994,0.18006042446635864,1.0,0.24736715464449185
NL,0.7724559134402521,0.7102788756494969,0.24736715464449185,1.0
