period,support,zone,model,n,mae,rmse,bias
validation,all_nyx_hours,pooled,chronos,9116,13.709657248077885,26.114790069877206,0.8081396928863539
validation,all_nyx_hours,pooled,residual,9116,12.437381699195601,24.129134371932476,-0.9141850762051924
validation,all_nyx_hours,pooled,nyx,9116,12.315690143463852,23.890625469902957,-0.39718097167345134
validation,all_nyx_hours,BE,chronos,2279,12.791811475566037,25.3868001720773,0.46883200335892955
validation,all_nyx_hours,BE,residual,2279,11.669859945583967,23.12186388968264,-1.5625417560888797
validation,all_nyx_hours,BE,nyx,2279,11.467478918265488,22.949263706621426,-0.6347223635294186
validation,all_nyx_hours,DE,chronos,2279,12.869276536552436,25.3980012999426,1.0717297055563846
validation,all_nyx_hours,DE,residual,2279,11.504087707915382,23.346597452438033,-0.4391114659532484
validation,all_nyx_hours,DE,nyx,2279,11.450687372816219,23.124182636515506,-0.18418857849811368
validation,all_nyx_hours,FR,chronos,2279,16.180935122659065,28.277341161263305,0.956429349808688
validation,all_nyx_hours,FR,residual,2279,14.839871928834418,26.76368773489454,-0.38505053691617697
validation,all_nyx_hours,FR,nyx,2279,14.626938245335753,26.288538819215923,-0.08058148105187672
validation,all_nyx_hours,NL,chronos,2279,12.996605857534005,25.273957454575296,0.735567712821413
validation,all_nyx_hours,NL,residual,2279,11.735707214448636,23.08422228806838,-1.270036545862464
validation,all_nyx_hours,NL,nyx,2279,11.71765603743794,23.033977963875543,-0.6892314636143959
validation,four_model_common,pooled,chronos,9116,13.709657248077885,26.114790069877206,0.8081396928863539
validation,four_model_common,pooled,residual,9116,12.437381699195601,24.129134371932476,-0.9141850762051924
validation,four_model_common,pooled,nyx,9116,12.315690143463852,23.890625469902957,-0.39718097167345134
validation,four_model_common,pooled,storm,9116,13.435010759433961,23.672667857189282,-5.02375888251426
validation,four_model_common,BE,chronos,2279,12.791811475566037,25.3868001720773,0.46883200335892955
validation,four_model_common,BE,residual,2279,11.669859945583967,23.12186388968264,-1.5625417560888797
validation,four_model_common,BE,nyx,2279,11.467478918265488,22.949263706621426,-0.6347223635294186
validation,four_model_common,BE,storm,2279,13.105368213251426,23.637450102845165,-5.645262443176832
validation,four_model_common,DE,chronos,2279,12.869276536552436,25.3980012999426,1.0717297055563846
