zone,n,mean,sd,min,median,max,negative_hours
BE,8760,97.50666723744293,56.94697127683068,-497.905,97.2275,933.2825,330
DE,8760,101.58435045662101,59.809779913519506,-499.0,102.09125,697.3075,527
FR,8760,72.47475998858447,57.0434119350291,-496.8625,74.08625,338.8625,577
NL,8760,100.09653367579908,57.58339844225654,-498.4425,99.82625,799.355,439
