series,day,cutoff_time_utc,raw_timestamp,value
28211,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 14:00:00,3220.0
28211,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 15:00:00,3897.0
28211,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 16:00:00,4727.0
28211,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 17:00:00,5651.0
28211,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 18:00:00,6502.0
28211,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 19:00:00,7112.0
28211,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 20:00:00,7512.0
28211,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 21:00:00,7865.0
28211,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 22:00:00,7987.0
28211,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 23:00:00,7717.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-14 22:00:00+00:00,1448.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-14 23:00:00+00:00,1619.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 00:00:00+00:00,1717.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 01:00:00+00:00,1757.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 02:00:00+00:00,1788.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 03:00:00+00:00,1829.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 04:00:00+00:00,1855.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 05:00:00+00:00,1912.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 06:00:00+00:00,2005.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 07:00:00+00:00,2150.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 08:00:00+00:00,2507.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 09:00:00+00:00,3139.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 10:00:00+00:00,3784.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 11:00:00+00:00,4227.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 12:00:00+00:00,4408.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 13:00:00+00:00,4401.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 14:00:00+00:00,4326.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 15:00:00+00:00,4115.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 16:00:00+00:00,3761.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 17:00:00+00:00,3247.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 18:00:00+00:00,2683.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 19:00:00+00:00,2317.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 20:00:00+00:00,2159.0
28226,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 21:00:00+00:00,2064.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-14 22:00:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-14 22:15:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-14 22:30:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-14 22:45:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-14 23:00:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-14 23:15:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-14 23:30:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-14 23:45:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 00:00:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 00:15:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 00:30:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 00:45:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 01:00:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 01:15:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 01:30:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 01:45:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 02:00:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 02:15:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 02:30:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 02:45:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 03:00:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 03:15:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 03:30:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 03:45:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 04:00:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 04:15:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 04:30:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 04:45:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 05:00:00+00:00,0.0
23259,2026-09-15,2026-09-14T06:00:00+00:00,2026-09-15 05:15:00+00:00,28.459
